Scappa - Get Out,2017
Scary Movie 2,2001
Scary Movie 3 - Una risata vi seppellirà,2003
Scary Stories to Tell in the Dark,2019
School of Rock,2003
Scooby-Doo,2002
Scooby-Doo 2: Mostri scatenati,2004
Scoop,2006
Scott Pilgrim vs. the World,2010
Scream,1996
Scream 2,1997
Scream 3,2000
Scream 4,2011
Seabiscuit - Un mito senza tempo,2003
Searching,2018
Secret Window,2004
Secretary,2002
Seven,1995
Seven Sisters,2017
Sex and the City,2008
Sex Movie in 4D,2008
Sfera,1998
Sguardo nel vuoto,2007
Shadowhunters - Città di ossa,2013
Shaft,2019
Shakespeare in Love,1998
Shall We Dance?,2004
Shame,2011
Shark Night - Il lago del terrore,2011
Shark Tale,2004
Shelter - Identità paranormali,2010
Shining,1980
Shooter,2007
Short Term 12,2013
Showgirls,1995
Showtime,2002
Shrek,2001
Shrek 2,2004
Shrek e vissero felici e contenti,2010
Shrek Terzo,2007
Signal,2007
Silent Hill,2006
Silent Hill: Revelation 3D,2012
Silent House,2011
Sin City,2005
Sin City - Una donna per cui uccidere,2014
Single ma non troppo,2016
Sinister,2012
Sinister 2,2015
Skyline,2010
Sleepaway Camp,1983
Sleeping Beauty,2011
Sleepless - Il giustiziere,2017
Slender Man,2018
Sleuth - Gli insospettabili,2007
Slevin - Patto criminale,2006
Slither,2006
Small Soldiers,1998
Smokin' Aces,2006
Snakes on a Plane,2006
Snoopy & Friends - Il film dei Peanuts,2015
So cosa hai fatto,1997
Soffocare,2008
Sogni e delitti,2007
Solaris,2002
Soldi sporchi,1998
Solo per vendetta,2011
Solo: A Star Wars Story,2018
Something Borrowed - L'amore non ha regole,2011
Somnia,2016
Sopravvissuti,2015
Sorry to Bother You,2018
Soul Surfer,2011
Sound of My Voice,2011
Source Code,2011
Southland Tales - Così finisce il mondo,2006
Southpaw - L'ultima sfida,2015
Space Cowboys,2000
Space Vampires,1985
Spartacus,1960
Specie mortale,1995
Species II,1998
Speed,1994
Speed Racer,2008
Spenser Confidential,2020
Spider,2002
Spider-Man,2002
Spiderwick - Le cronache,2008
Spirit - Cavallo selvaggio,2002
Splinter,2008
Split,2016
SpongeBob - Fuori dall'acqua,2015
Spring Breakers - Una vacanza da sballo,2012
Spy,1996
Spy Kids 2 - L'isola dei sogni perduti,2002
Squadra 49,2004
Stake Land,2010
Stand by Me - Ricordo di un'estate,1986
Stanlio e Ollio,2018
Stanno tutti bene - Everybody's Fine,2009
Star System - Se non ci sei non esisti,2008
Star Trek,2009
Star Trek - La nemesi,2002
Star Trek - L'insurrezione,1998
Star Trek II - L'ira di Khan,1982
Star Trek: Beyond,2016
Star Wars - Gli ultimi Jedi,2017
Star Wars - Il risveglio della Forza,2015
Star Wars: Episodio I - La minaccia fantasma,1999
Star Wars: Episodio II - L'attacco dei cloni,2002
Star Wars: Episodio III - La vendetta dei Sith,2005
Star Wars: L'ascesa di Skywalker,2019
Star Wars: The Clone Wars,2008
Stardust,2007
Starman,1984
Starship Troopers - Fanteria dello spazio,1997
